"country";"continent";"year";"lifeExp";"pop";"gdpPercap"
"Botswana";"Africa";1952;47,622;442308;851,2411407
"Botswana";"Africa";1957;49,618;474639;918,2325349
"Botswana";"Africa";1962;51,52;512764;983,6539764
"Botswana";"Africa";1967;53,298;553541;1214,709294
"Botswana";"Africa";1972;56,024;619351;2263,611114
"Botswana";"Africa";1977;59,319;781472;3214,857818
"Botswana";"Africa";1982;61,484;970347;4551,14215
"Botswana";"Africa";1987;63,622;1151184;6205,88385
"Botswana";"Africa";1992;62,745;1342614;7954,111645
"Botswana";"Africa";1997;52,556;1536536;8647,142313
"Botswana";"Africa";2002;46,634;1630347;11003,60508
"Botswana";"Africa";2007;50,728;1639131;12569,85177
"Brazil";"Americas";1952;50,917;56602560;2108,944355
"Brazil";"Americas";1957;53,285;65551171;2487,365989
"Brazil";"Americas";1962;55,665;76039390;3336,585802
"Brazil";"Americas";1967;57,632;88049823;3429,864357
"Brazil";"Americas";1972;59,504;100840058;4985,711467
"Brazil";"Americas";1977;61,489;114313951;6660,118654
"Brazil";"Americas";1982;63,336;128962939;7030,835878
"Brazil";"Americas";1987;65,205;142938076;7807,095818
"Brazil";"Americas";1992;67,057;155975974;6950,283021
"Brazil";"Americas";1997;69,388;168546719;7957,980824
"Brazil";"Americas";2002;71,006;179914212;8131,212843
"Brazil";"Americas";2007;72,39;190010647;9065,800825
"Korea, Rep.";"Asia";1952;47,453;20947571;1030,592226
"Korea, Rep.";"Asia";1957;52,681;22611552;1487,593537
"Korea, Rep.";"Asia";1962;55,292;26420307;1536,344387
"Korea, Rep.";"Asia";1967;57,716;30131000;2029,228142
"Korea, Rep.";"Asia";1972;62,612;33505000;3030,87665
"Korea, Rep.";"Asia";1977;64,766;36436000;4657,22102
"Korea, Rep.";"Asia";1982;67,123;39326000;5622,942464
"Korea, Rep.";"Asia";1987;69,81;41622000;8533,088805
"Korea, Rep.";"Asia";1992;72,244;43805450;12104,27872
"Korea, Rep.";"Asia";1997;74,647;46173816;15993,52796
"Korea, Rep.";"Asia";2002;77,045;47969150;19233,98818
"Korea, Rep.";"Asia";2007;78,623;49044790;23348,13973
